Network Code,Station Code,Name,Latitude,Longitude,Elevation
II,AAK,"Ala Archa, Kyrgyzstan",42.639,74.494,1645
II,ABKT,"Alibek, Turkmenistan",37.93,58.119,678
II,ABPO,"Ambohimpanompo, Madagascar",-19.018,47.229,1528
II,ALE,"Alert, N.W.T., Canada",82.503,-62.35,60
II,ARU,"Arti, Russia",56.43,58.562,250
II,ASCN,"Butt Crater, Ascension Island",-7.933,-14.36,173
II,BFO,"Black Forest Observatory, Schiltach, Germany",48.332,8.331,589
II,BORG,"Borgarfjordur, Asbjarnarstadir, Iceland",64.747,-21.327,110
II,BRVK,"Borovoye, Kazakhstan",53.058,70.283,330
II,CMLA,"Cha de Macela, Sao Miguel Island, Azores",37.764,-25.524,429
II,COCO,"West Island, Cocos (Keeling) Islands",-12.19,96.835,1
II,DGAR,"Diego Garcia, Chagos Islands, Indian Ocean",-7.412,72.453,1
II,EFI,"Mount Kent, East Falkland Island",-51.675,-58.064,110
II,ERM,"Erimo, Hokkaido Island, Japan",42.015,143.157,40
II,ESK,"Eskdalemuir, Scotland, UK",55.317,-3.205,242
II,FFC,"Flin Flon, Canada",54.725,-101.978,338
II,HOPE,"Hope Point, South Georgia Island",-54.284,-36.488,20
II,JTS,"Las Juntas de Abangares, Costa Rica",10.291,-84.953,340
II,KAPI,"Kappang, Sulawesi, Indonesia",-5.014,119.752,300
II,KDAK,"Kodiak Island, Alaska, USA",57.783,-152.583,152
II,KIV,"Kislovodsk, Russia",43.955,42.686,1054
II,KURK,"Kurchatov, Kazakhstan",50.715,78.62,184
II,KWAJ,"Kwajalein Atoll, Pacific Ocean",8.802,167.613,0
II,LVZ,"Lovozero, Russia",67.898,34.651,630
II,MBAR,"Mbarara, Uganda",-0.602,30.738,1390
II,MSEY,"Mahe, Seychelles",-4.674,55.479,475
II,MSVF,"Monasavu, Fiji",-17.745,178.053,801.1
II,NIL,"Nilore, Pakistan",33.651,73.269,629
II,NNA,"Nana, Peru",-11.988,-76.842,575
II,NRIL,"Norilsk, Russia",69.505,88.441,92
II,OBN,"Obninsk, Russia",55.115,36.567,160
II,PALK,"Pallekele, Sri Lanka",7.273,80.702,460
II,PFO,"Pinon Flat, California, USA",33.611,-116.456,1280
II,RAYN,"Ar Rayn, Saudi Arabia",23.523,45.503,631
II,RPN,"Rapanui, Easter Island, Chile",-27.127,-109.334,110
II,SACV,"Santiago Island, Cape Verde",14.97,-23.608,387
II,SHEL,"Horse Pasture, St. Helena Island",-15.959,-5.746,537
II,SUR,"Sutherland, South Africa",-32.38,20.812,1770
II,TAU,"Hobart, Tasmania, Australia",-42.91,147.32,132
II,TLY,"Talaya, Russia",51.681,103.644,579
II,WRAB,"Tennant Creek, NT, Australia",-19.934,134.36,366